,Year of Release,Game Title,Game Price,Score,Votes,Genre
600,2017,Hollow Knight,14.99,8.7,285375,Metroidvania
601,2017,Slime Rancher,19.99,8.69,106006,Cute
602,2017,A Hat in Time,29.99,8.63,46558,Cute
603,2017,Doki Doki Literature Club!,0.0,8.62,186626,Psychological Horror
604,2017,Cuphead,19.99,8.6,134829,Difficult
605,2017,Ravenfield,17.99,8.58,58332,FPS
606,2017,Divinity: Original Sin 2 - Definitive Edition,44.99,8.57,161163,Tactical RPG
607,2017,Finding Paradise,9.99,8.53,15026,Story Rich
608,2017,VTOL VR,29.99,8.51,11494,Flight
609,2017,Gorogoa,14.99,8.49,13961,Puzzle
610,2017,CarX Drift Racing Online,14.99,8.46,60760,Racing
611,2017,West of Loathing,10.99,8.45,8354,RPG
612,2017,NEKOPARA Vol. 3,9.99,8.44,11608,Anime
613,2017,Touhou Tenkuushou ~ Hidden Star in Four Seasons.,14.99,8.44,4451,Bullet Hell
614,2017,Resident Evil 7 Biohazard,19.99,8.44,70713,Horror
615,2017,Little Nightmares,19.99,8.43,88266,Horror
616,2017,What Remains of Edith Finch,19.99,8.42,32241,Story Rich
617,2017,Rivals of Aether,29.99,8.4,27892,Fighting
618,2017,Superflight,2.99,8.38,10364,Flight
619,2017,Opus Magnum,19.99,8.38,5138,Puzzle
620,2017,Hidden Folks,14.99,8.38,8519,Hidden Object
621,2017,planetarian HD,9.99,8.37,2113,Visual Novel
622,2017,Stick Fight: The Game,4.99,8.37,107684,Funny
623,2017,DEEP SPACE WAIFU,4.99,8.34,8602,Anime
624,2017,Alien Swarm: Reactive Drop,0.0,8.33,19026,Top-Down
625,2017,Rusted Warfare - RTS,4.99,8.33,3564,RTS
626,2017,Pavlov VR,24.99,8.32,35778,Shooter
627,2017,Rakuen,14.99,8.32,5394,Story Rich
628,2017,Total War: WARHAMMER II,59.99,8.31,119497,Strategy
629,2017,Kindergarten,4.99,8.3,6194,Funny
630,2017,Raging Loop,29.99,8.3,3832,Adventure
631,2017,Cinderella Phenomenon - Otome/Visual Novel,0.0,8.3,3756,Otome
632,2017,Darkwood,3.74,8.29,15255,Horror
633,2017,Unturned,0.0,8.29,509828,Survival
634,2017,Dungeons 3,29.99,8.28,17237,Strategy
635,2017,Orbt XL,0.99,8.28,3241,Casual
636,2017,Monolith,7.99,8.28,1644,Roguelite
637,2017,Freddy Fazbear's Pizzeria Simulator,0.0,8.27,23047,Horror
638,2017,SteamWorld Dig 2,19.99,8.27,5704,Adventure
639,2017,Cat Quest,12.99,8.25,6977,Adventure
640,2017,Life is Strange: Before the Storm,16.99,8.25,35952,Story Rich
641,2017,Empires of the Undergrowth,17.99,8.25,8159,Strategy
642,2017,SCP: Secret Laboratory,0.0,8.23,157952,Horror
643,2017,Sonic Mania,19.99,8.23,22319,Great Soundtrack
644,2017,Majotori,5.99,8.22,1514,Trivia
645,2017,Night in the Woods,19.99,8.22,15171,Story Rich
646,2017,Battle Chef Brigade Deluxe,19.99,8.22,2178,Action
647,2017,Heat Signature,14.99,8.21,6548,Space
648,2017,Angels with Scaly Wings™ / 鱗羽の天使,9.99,8.21,1544,Dragons
649,2017,Crawl,14.99,8.21,6396,Pixel Graphics
650,2017,The Legend of Heroes: Trails of Cold Steel,39.99,8.2,4732,JRPG
651,2017,Kingdoms and Castles,14.99,8.2,24170,City Builder
652,2017,OLDTV,0.0,8.2,5324,Great Soundtrack
653,2017,Little Busters! English Edition,34.99,8.19,695,Visual Novel
654,2017,Cattails | Become a Cat!,14.99,8.18,2266,Cats
655,2017,SENRAN KAGURA ESTIVAL VERSUS,29.99,8.17,4934,Nudity
656,2017,BlazBlue Centralfiction,39.99,8.17,8785,Fighting
657,2017,Planescape: Torment: Enhanced Edition,19.99,8.17,3742,RPG
658,2017,Sudoku Universe / 数独宇宙,1.99,8.17,2257,Casual
659,2017,Soda Dungeon,0.0,8.17,5746,RPG
660,2017,Meltys Quest,19.99,8.17,1967,Dating Sim
661,2017,The Darkside Detective,14.99,8.16,3629,Point & Click
662,2017,Misao: Definitive Edition,4.99,8.16,1598,Horror
663,2017,The Long Dark,34.99,8.16,96896,Survival
664,2017,Draw Puzzle 画之谜,4.99,8.16,809,Casual
665,2017,The Evil Within 2,39.99,8.16,24578,Horror
666,2017,Spooky's Jump Scare Mansion: HD Renovation,9.99,8.16,2068,Horror
667,2017,Bayonetta,19.99,8.16,23884,Action
668,2017,Linelight,9.99,8.14,893,Casual
669,2017,Zup! 7,1.99,8.14,1989,Puzzle
670,2017,Muv-Luv Alternative (マブラヴ オルタネイティヴ),39.99,8.14,2114,Visual Novel
671,2017,The Jackbox Party Pack 4,24.99,8.14,2729,Casual
672,2017,Zero Escape: The Nonary Games,29.99,8.14,4385,Visual Novel
